Company Name,Skills Set,Information Link,Description,Posted Time
InfosysTechnologiesLtd,"informationtechnology,oss,devops,globaldelivery,python,oracle,telecom,mongodb,django,writtencommunication",https://www.timesjobs.com/job-detail/python-developer-infosys-technologies-ltd-6-to-9-yrs-jobid-z6xzPebI__SLASH__tVzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Wanted:GlobalInnovatorstoHelpUsBuildTomorrowsEnterpriseThispositionwillinterfacewithkeystakeholdersandapplyyourtechnicalproficiencyacrossdifferentstagesoftheSoftwareDevelopmentLifeCycleincludingRequirementsElicitation,ApplicationArchitecturedefinitionandDesign;playanimportantroleincreatingthehighleveldesignartifacts;deliverhighqualitycodedeliverablesforamodule,leadvalidationforalltypesoftestingandsupportactivitiesrelatedtoimplementation,transitionandwarranty;bepartofalearningculture,whereteamworkandcollaborationareencouraged,excellenceisrewarded,anddiversityisrespectedandvalued.LocationsforthepositionsareTampa,FLorRichardson,TX.RequiredQualifications:CandidatemustbelocatedwithincommutingdistanceofTampa,FLorRichardson,TXorbewillingtorelocatetotheareainthefuture.ThispositionmayrequiretravelintheUS.Bachelorsdegreeorforeignequivalentrequiredfromanaccreditedinstitution.Willalsoconsiderthreeyearsofprogressiveexperienceinthespecialtyinlieuofeveryyearofeducation.Atleast6yearsofInformationTechnologyexperience(PertheJL)PythondeveloperexperiencewithPythonframeworkslikeFlask,Django.GoodscriptingexperiencewithAnsible.ExperienceworkinganddeployinginAWSDevOpsandwellversedinCI/CDPipelineExperienceofworkinginscaledagileenvironmentSAFeDomain-Telcom(wirelineorwireless),OSSMobileapplicationdevelopment(secondary,notamandatoryskill)KnowledgeandexperiencewithfullSDLClifecycleandAgileDevelopmentmethodologiesU.S.citizensandthoseauthorizedtoworkintheU.S.areencouragedtoapply,weareunabletosponsoratthistime.PreferredQualifications:ExperiencewithPythonandscripting.Experiencedevelopingcloudnativeapplications,preferablyAWS.Experienceinapplicationdesignusingdesignprinciples,patternsandbestpracticesAbilitytocommunicatecomplextechnologysolutionstodiverseteamsnamely,technical,businessandmanagementteamsExperiencemanagingteamsizeof2-3wouldbeaplusExcellentverbalandwrittencommunicationskillsExperienceanddesiretoworkinaGlobaldeliveryenvironmentThejobentailssittingaswellasworkingatacomputerforextendedperiodsoftime.Shouldbeabletocommunicatebytelephone,emailorfacetoface.Travelmayberequiredasperthejobrequirements.",Posted 6 days ago
APPLYCUPHIRINGSOLUTIONSLLP,"python,django,html5,javascript",https://www.timesjobs.com/job-detail/python-developer-applycup-hiring-solutions-llp-gurgaon-delhi-delhi-ncr-2-to-15-yrs-jobid-FHYQtX1BOyxzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		PythonDeveloperGurgaon,DelhiQualification:AnyGraduateExperience:2-15YearsSkills:Python,Django,FlaskJobDescription:JobDescription:ExpertinPython,withknowledgeofatleastonePythonwebframework{suchasDjango,Flask,etcdependingonyourtechnologystackGoodunderstandingofserver-sidetemplatinglanguages{suchasJinja2,Mako,etcdependingonyourtechnologystackUnderstandingofthethreadinglimitationsofPython,andmulti-processarchitectureBasicunderstandingoffront-endtechnologies,suchasJavaScript,HTML5,andCSS3CandidateProfile:SalaryRange:Notdisclosed",Posted few days ago
BoppoTechnologiesPvt.Ltd.,"python,html5,storage,javascript,security,django",https://www.timesjobs.com/job-detail/python-engineer-boppo-technologies-pvt-ltd-mumbai-2-to-4-yrs-jobid-ovI9jfCkRm5zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		JobDescription:HandsonexperiencewithDjango,FlaskorotherPythonframeworksGoodunderstandingofserver-sidetemplatinglanguagessuchasJinja2,Mako,etcBasicunderstandingoffront-endtechnologies,suchasJavaScript,HTML5,andCSS3FamiliaritywithsomeORM(ObjectRelationalMapper)librariesWritereusable,testable,andefficientcodeDesignandimplementoflow-latency,high-availability,andperformantapplicationsIntegrationofuser-facingelementsdevelopedbyfront-enddeveloperswithserversidelogicImplementationofsecurityanddataprotectionIntegrationofdatastoragesolutionsPerformancetuning,improvement,balancing,usability,automationWorkcollaborativelywithdesignteamtounderstandenduserrequirementstoprovidetechnicalsolutionsandfortheimplementationofnewsoftwarefeatures",Posted few days ago
BirdvisionConsulting,"securitycompliance,python,django,html5,oops,javascript",https://www.timesjobs.com/job-detail/python-developer-birdvision-consulting-pune-0-to-1-yrs-jobid-9P12GmuyZSlzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		PythonDeveloperLocation:Pune(WorkfromHometillDecember2020)WorkExperience:0-1Yrs(GoodCommunicationSkills)Description:MusthaveworkedonPythonwebframeworksuchasDjango,Flask.GoodunderstandingofFile-OperationsinPython.MusthavestrongcommandonPythonlanguageconstructs(Filehandling,datatypes,OOPsconcepts,Iteratorsetc.).Workingwithdifferenttechnologygroupteammembers.Understandingoffront-endtechnologiessuchasJavaScript,HTML5,andCSS3CodeRESTfulAPIsinPython.Understandingofaccessibilityandsecuritycompliance",Posted few days ago
JobsLoConsultants,"python,oracle,rdbms,scala,datawarehousing,teamplayer,git",https://www.timesjobs.com/job-detail/python-developer-jobslo-consultants-pune-7-to-12-yrs-jobid-9Jrf8AyIdnFzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		SkillsRequired:PleaseconfirmonbelowpointerinYES/NOAppliedexperienceinPythonprogramming(datastructure,HTTPrequests,classes)Experienceindatamodeling,datawarehousing,strongknowledgeandexperienceinDatawarehousingconcepts.OracleisourRDBMS.PracticalexperiencewithETLusingInformatica.(Alteryxisaplus)Well-roundedcommunicationsskills,shouldbeableopenlyexpresstheideas.Teamplayer.StrongDataIngestiontechniques(Batch)MustbefamiliarwithBitBucketandGit.(Bambooisaplus)DesirabletohaveAWSCloudPlatformexperience,specificallyRedshift,S3andEMR[Scalaisaplus]ExperienceinutilizingAgileprojectmanagementmethodologiesMoreInformationINRMonthExperience7-12YearsQualificationGraduation",Posted few days ago
TandAHRSolutions,"python,cloudservices,postgresql,mysql,machinelearning",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-5-to-8-yrs-jobid-ANbwkl1O2kdzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		ResponsibilitiesGuidethetechnicalplanning,designandimplementationstrategiesImplementhighquality,efficientandrobustcodeCreatethearchitectureforscalableandextendablesolutionsWorkwithfront-endteammembersforservicesintegrationKnowledgeofmachinelearningtoolssuchasSciKitisanassetKnowledgeofintegrationstrategiesI,eleveragingPythontointegratewith3rdpartyapplicationsisanassetResponsibilitiesAtleast5yearsprogrammingexperiencewithPythonExtensiveexperienceinPythonprogrammingincludingknowledgeofPythonframeworksandnetworkingprogrammingExperiencedevelopingRESTfulAPIsandMicroservicesExperiencewithcloudserviceslikeAWSorGoogleCloudandsocialnetworkssuchasInstagram,Twitter,LinkedIn,etcKnowledgeofrelationaldatabaseslikeMySQLandPostgreSQLKnowledgeofmachinelearning&AIisabigplusLocationMohali",Posted few days ago
zoondiasoftwarepvtltd,"rest,python,problemsolving,sql,django,mysql,mvc,middleware",https://www.timesjobs.com/job-detail/python-developer-zoondia-software-pvt-ltd-calicut-kozhikode-2-to-5-yrs-jobid-NNFRG6sOH1NzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		PythonDeveloperCalicut&Trivandrum2-4yrsYEARDescription:DoyouloveacollaborativeworkenvironmentthatsdrivenbyInnovation?Requirement:ExpertiseinPython,Django,SQL.Experienceindesigningtheservicelayerandcommunicationwiththefront-endmodules.MVCdesignpattern,PythonLibraries,MiddlewareWebServicesImplementationORM(ObjectRelationalMapper)GoodknowledgeonRESTbasedWebservicesimplementationusingPythonStrongproblemsolvingskills.ExperienceworkingwithLargescaledatabasesExperienceworkingwithDatabaseslikePostgres,SQL,MysqlExperienceandEducation:QualificationBtech,MCAExperience:2yrs.AlongwiththeresumePreferredImmediateJoiners",Posted few days ago
ISOLVETECHNOLOGIES,"python,machinelearning,artificialintelligence,django,java,webdeveloper,api",https://www.timesjobs.com/job-detail/python-developer-isolve-technologies-chennai-2-to-5-yrs-jobid-zizFlsTrRZ1zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		WearelookingforaPythonWebDeveloperresponsibleformanagingtheinterchangeofdatabetweentheserverandtheusers.Yourprimaryfocuswillbethedevelopmentofallserver-sidelogic,ensuringhighperformanceandresponsivenesstorequestsfromthefront-end.Youwillalsoberesponsibleforintegratingthefront-endelementsbuiltbyyourco-workersintotheapplication;therefore,abasicunderstandingoffront-endtechnologiesisnecessaryaswell.KeySkills:Python,MachineLearning,ArtificialIntelligenceRolesandResponsibilities2yearsofstronghands-oncodingexpertisewithPythonandrelatedframeworks.KnowledgeofatleastonePythonwebframework(suchasDjango,Flask)BasicKnowledgeandunderstandinginAI/ML.Opentoworkwithnewtechnologies.Design,develop,optimize,testandtroubleshootsoftwareprogram/code.BuildreusablecodeandlibrariesforfutureuseProgramingskillsinJava.Excellentanalyticanddata-driventhinkingskillsisaplus.GoodunderstandingofdeploymentofPythonapplicationsonIISserverGoodunderstandingofdesignpatternsGoodtohavethefollowingexperiencetooExperienceinusingcloudbasedMLplatformsGCP:VisionFaceDetectionAPI,AutoMLAWS:AmazonRekognition,AmazonRekognition,SageMaker,AmazonLookoutforVisionFeaturesAzure:FaceDetection,FaceRecognition,MachineLearning",Posted few days ago
Kissflow,"elasticsearch,python,softwareengineer,technicalskills,mongodb",https://www.timesjobs.com/job-detail/python-developer-kissflow-chennai-0-to-3-yrs-jobid-I3pwJJcMb3BzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		JobDescriptionYouwillbeworkingwiththeproductteamdesigninganddevelopingtheKissflowproduct.TechnicalSkillsYouwillbeworkingasaSoftwareEngineerinourkissflowproduct.StrongknowledgeinPythonismandatoryKnowledgeinoneormoreframeworkslikeWSGI(uwsgi),Flask,WebApplicationdevelopmentExposuretocloudplatformslikeGoogleCloud,Kubernetes,AWSwillbeanaddedadvantageExposuretoDatabaseslikeMongoDB,BigQuery,ElasticSearch,Redisetc.,SoftSkillsGoodarticulationskillsGoodcodingskillsandcuriositytoexplorenewtechnologiesTheyshouldbemethodicalintheirapproachtodesign&development",Posted few days ago
HRDEVIANDASSOCIATES,"fundamentals,algorithms,python,c,mobile,teamplayer,androiddevelopment,database,pythonscripting,devops",https://www.timesjobs.com/job-detail/python-developer-hr-devi-and-associates-gurgaon-5-to-8-yrs-jobid-1OMrp4Jl8M9zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		JobDescription:A.Ownershipofbuildingandmaintainingbackendcode.B.Designscalablearchitectureforourbackend.C.ShouldbeabletocreatetheprojectskeletonD.Teamplayer:activelyinvolvedinrigorouspeercodereviews,designdiscussions,mentoringjuniorengineers.TASK:ScripttoplaceorderonSnapdealLogallthecallsthathappenwhensomeoneloginstohis/heraccountonthesnapdealandroidappandaddsaproducttohis/hercart.Now,prepareapythonscripttodothesame.Thescriptshouldtakeintheusersemailaddressandsnapdealaccountpasswordanduponsuccessfulexecution,theusershouldbeabletoseetheproductaddedtohiscart(onweb/mobile)Passing:givehimasamplesnapdealemaillogindetailsandseeifafterthescriptexecution,theproductwasfoundintheuserscart.Handsonexperiencewithpythonscriptinganddevelopment.Musthavecreatedfewprojectsfromscratch.Opensource&DevOpsenthusiast.StrongcomputerScienceFundamentals.Excellentinalgorithmsanddatastructure.Goodunderstandingofvariousdatabasetechnologiesespecially.Experienceofscalinganyserviceinbigplus.Selfmotivatedteamplayerwhoisflexibleandadaptsinquicklychangingenvironment.KnowledgeofAndroiddevelopmentisaplus.",Posted few days ago
APEXSERVICES,"python,oracle,triggers,machinelearning,hibernate,sql,spring,java,postgresql,softwaredeveloper",https://www.timesjobs.com/job-detail/python-developer-apex-services-pune-3-to-6-yrs-jobid-ZqWbCgdVkstzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		GoodKnowledgeofAnsiSQL,backendstoredprocedures,triggersExpertiseInCorePython.GoodgraspofWebFrameworks.ObjectRelationalMappers.(optional)RoadtoDataScience.MachineLearningandAI.DeepLearning.(optional)UnderstandingofMulti-ProcessArchitecture.(optional)Analyticalskills.-MUSTJava:CoreJava,Hibernate,Spring,SpringBoot,Oracle,RelationalDB-PostgreSQL,Oracle,GoodKnowledgeofAnsiSQL,backendstoredprocedures,triggers(raisingBackupRRSforPythonJava)",Posted few days ago
